"DatumEntscheid","Gesuchssteller","Projekt","Foerderbereich","Foerderart","FoerderbeitragCHF"
2024-01-01,"Ustertagskomitee","Leistungskontrakt","Fachstelle Kultur","Leistungskontrakt",30000
2024-01-01,"Uster Agenda","Leistungskontrakt","Fachstelle Kultur","Leistungskontrakt",25000
2024-06-03,"The Flying Circus","Zirkus Gastspiel «Catastrofonia», 15.09.2024, Stadtpark, Uster","Konzert & Theater","Projektbeitrag",1500
2024-06-03,"Verein Openair für Uster, H2U","Zeughausfest, 25.5.2024. Zeughaus K1: A6 (zukünftige U-Boot Live Musik Bar)","Konzert & Theater","Projektbeitrag",1000
2024-06-03,"anda Verlag GmbH/anda Events","Felltuschgnusch – das pelzige Musiktheater von  Marius & die Jagdkapelle ab November auf den Theaterbühnen, 28. Dezember 2024, Stadthofsaal Uster","Konzert & Theater","Projektbeitrag",2000
2024-06-03,"JazzVoices Zürich","Groovin' Hard - JazzVoices Zürich & Trio, 16./17./30.11.2024, Zürich Hottingen und Musikcontainer Uster","Konzert & Theater","Projektbeitrag",2000
2024-06-03,"Freie Bühne Uster","Theateraufführungen «Mord im Orientexpress», 26.09.2024 - 19.10.2024 (15 Vorstellungen), Kulturhaus Central, Uster","Konzert & Theater","Projektbeitrag",6000
2024-06-03,"Verein Klassik im Schloss/Rüden","Klassik im Schloss, Saison 2025, 16.&30.3., 13.4., 13.9., 4.&25.10.25, Schloss Uster","Konzert & Theater","Projektbeitrag",3000
2024-06-03,"Thomas Lüthi","Album-Produktion, 12./13. Juli 2024, Pas d’oreilles Studio Zürich","Konzert & Theater","Projektbeitrag",1500
2024-06-03,"Konzeptbox","12-1/2 Ustergeschichten (Vorprojekt), 2025 Jubiläumsjahr 1250 Jahre Uster, qtopia und online - Projektionen ad hoc","Film & Kino","Projektbeitrag",8000
2024-06-03,"Beyond Silence Concerts","Neues Orchester Uster: 1. Konzert, 1. November 2024, Stadthofsaal Uster","Konzert & Theater","Projektbeitrag",7000
2024-08-26,"Jazzclub Uster","Jazzclub Uster, September 2024 - April 2025, Musikcontainer Uster","Konzert & Theater","Projektbeitrag",14000
2024-08-26,"Dakar-Produktion - Theater mit Puppen und Menschen","Auf Bäume klettern, 5./6./7./8.12.24, 10./11.1.25, Mai 2025, Theater Stadelhofen/ThiK Baden/Central Uster","Konzert & Theater","Projektbeitrag",5000
2024-08-26,"Musiker-Ensemble  Lalli / D'Angelo / Verità ","Klangzauber der Belle Époque, 26.1.25, MusikContainer Uster","Konzert & Theater","Projektbeitrag",1800
2024-08-26,"Japanischer Frauenchor Zürich - Naomi Bozzini","8. Japanisches Chorfest, 14.6.225, Reformierte Kirche Uster","Konzert & Theater","Projektbeitrag",2500
2024-08-26,"Marion Bigger Buchli, Ludit GmbH","Usterspiel, Verkauf/Abgabe ab 5.9.25, Bei Familien, in Spielkreisen, bei Kulturinteressierten","Bildende Kunst","Projektbeitrag",1500
2024-08-26,"Dominic Kramer","Fassadenkunst im Zeughausareal, Sa,14.9 / Mi,18. & 25.9.24 / + 5 Tage in Herbstferien 24, Zeughausareal Uster","Bildende Kunst","Projektbeitrag",8150
2024-08-26,"must","Konzertwoche im Advent, 2. bis 6.12.24, Stadthausfoyer","Konzert & Theater","Projektbeitrag",4000
2024-08-26,"Bechtler Stiftung","Walter de Maria’s «Ocean Music» und «Cricket Music», live gespielt von Lucas Niggli, 29.9.24, Bechtler Stiftung","Konzert & Theater","Projektbeitrag",3000
2024-08-26,"Compagnia Za-Zà","Freilicht Theater: Molière Cie Za-Zà, Anfang August 2025, Stadtpark Uster","Konzert & Theater","Projektbeitrag",2000
2024-08-26,"Filacro","Circo Fantazztico, 8./9.9.24, filacro Circus-Schule","Konzert & Theater","Projektbeitrag",1200
2024-08-26,"Trigger Concert Big Band","De Bogotá a Nueva York, 22./23./24.11.24, Zug (Hünenberg), Uster, Rapperswil-Jona","Konzert & Theater","Projektbeitrag",1500
2024-08-26,"Vadane","Vadane: Album und Tour «Le beau monde», 2.11.24 - 21.3.25, diverse","Konzert & Theater","Projektbeitrag",2000
2024-11-25,"Avital Cohen & Company","AIR POÉTIQUE 5785 / TALES OF AIR & EARTH, 24./25.10.2025, Central Uster plus diverse andere Daten und Orte","Konzert & Theater","Projektbeitrag",18000
2024-11-25,"PIALETO","Leuchtfigur für das Stadtfest Uster, Bau: In der Woche 34 und 36, Im Park der Villa am Aabach","Bildende Kunst","Projektbeitrag",15000
2024-11-25,"Ingo Ospelt","Drehbuch Entwicklung, 1.12.2025 - 31.1.2026, Arbeitsort Uster","Film & Kino","Projektbeitrag",8000
2024-11-25,"Verein Openair für Uster, H2U","Kultur im U-Boot, 2024: 8.11., 22.11., 6.12., 2025: 10.1., 16.1, 24.1., 7.2, U-Boot Bar, Zeughaus, Uster","Konzert & Theater","Projektbeitrag",4000
2024-11-25,"Konzeptbox","12-1/2 Ustergeschichten (Hauptprojekt), 2025 Jubiläumsjahr 1250 Jahre Uster, Kino qtopia und online - Projektionen ad hoc - Schulen","Film & Kino","Projektbeitrag",40000
2024-11-25,"Dorothée Däster","Il peso dell'aria, 6.9.25, Stadtpark","Konzert & Theater","Projektbeitrag",3500
2024-11-25,"Central Uster","Duster in Uster, 5./6./7. September 2025, Schloss Uster/Reformierte Kirche/Wald/Brauerei/Aabach","Konzert & Theater","Projektbeitrag",30000
2024-11-25,"Hinterhalt Verein","Hinterhalt Festival 2025, 27./ 28./ 29. Juli 2025, Seestrasse 64 / Lenzlinger-Areal","Konzert & Theater","Projektbeitrag",45000
2024-11-25,"Karen Geyer","Jahresprogramm Führungen i ö Raum, 06.03.,03.04.,01.05.,05.06.,03.07.,07.08.,04.09.,02.10.25, gesamte Stadt Uster, Kunstwerke im öffentlichen Raum","Bildende Kunst","Projektbeitrag",8000
2025-03-03,"Kunstverein Uster","Kunst+ (Total ca 19 Veranstaltungen), Januar bis Dezember 2025, Uster","Bildende Kunst","Projektbeitrag",5000
2025-03-03,"Genossenschaft Klairs Nänikon","Live im Klairs 2025, 9.3.25,27.4.25,18.5.25, 15.6.25,31.6.25,28.9.25,26.10.25,14.12.25, Klairs, Bühlstrasse 16, 8606 Nänikon","Konzert & Theater","Projektbeitrag",2000
2025-03-03,"Qtopia und Internationale Kurzfilmtage Winterthur","Kurzfilmnacht Uster 2025, Samstag, 12. April 2025, Schweiz, Stadt Uster, qtopia Kino+Bar","Film und Kino","Projektbeitrag",2500
2025-03-03,"Orgelfestival","Orgelfestival 2025, 17.8. - 21.9.25, Reformierte Kirche Uster","Konzert & Theater","Projektbeitrag",8000
2025-03-03,"Künstlergruppe Uster","Ausstellung Künstlergruppe Uster, 27. Sept.– 12. Oktober 25, Zeughaus K2","Bildende Kunst","Projektbeitrag",3000
2025-03-03,"Nina Widmer, Dina Sommerhalder, Anja Rüttimann, Yamina Wehrli","Erstes Komponistinnen-Festival Uster, 13. und 15. Juni 2025, U-Boot-Bar, Katholische Kirche Uster","Konzert & Theater","Projektbeitrag",8000
2025-03-03,"Sängerbund Uster","Musiktheater Simeliberg, 27./28. September 2025, Festsaal Wagerenhof, Asylstrasse, Uster","Konzert & Theater","Projektbeitrag",5000
2025-03-03,"must","Konzerte für Frühaufstehende, Montag 23. Juni bis Freitag 27. Juni 2025, Stadtbibliothek","Konzert & Theater","Projektbeitrag",4000
2025-03-03,"Glauser Quintett","Glauser Quintett: „Ich komme mit“, Proben ab Sommer 2025, Premiere im Januar 2026, Uster, Zürich, Weinfelden, Baden etc.","Konzert & Theater","Projektbeitrag",4000
2025-03-03,"Cantapè","Requiem Giuseppe Verdi, 13. September 2025, reformierte Kirche Uster","Konzert & Theater","Projektbeitrag",4500
2025-03-03,"must","must-Festival am Stadtfest 2025, Sonntag 7.9.2025, 12-18h, Kleine Bühne bei der Brauerei","Konzert & Theater","Projektbeitrag",12000
2025-03-03,"Luca Filisetti & Maurus Feyen von Klangsthase","Jam dich nicht!, jeweils am letzten Mittwoch des Monats (Start am 26.03.2025), Central Uster","Konzert & Theater","Projektbeitrag",6000
2025-03-03,"Verein Open Air für Uster","Kultur im U-Boot (H2U-Bühne), diverse Daten im 2025 (s. Projektbeschreibung), U-Boot Bar, Zeughausareal, Uster","Konzert & Theater","Projektbeitrag",13600
2025-03-03,"der grosse tyrann","WANDATHEATER, 13. September 2025, Zeughausareal Uster","Konzert & Theater","Projektbeitrag",1500
2025-03-03,"Dimitrina Sevova (Corner College)","Gruppenausstellung Earthly Things – Ghostly Matters, 13.-21. September 2025, Raum 2, Zeughausareal Uster, K2","Bildende Kunst","Projektbeitrag",10000
